chinese_,chinese
改造化学制剂厂，将提升化学药剂生产效率。,改造化學製劑廠，將提升化學藥劑生產效率。
改造炼钢厂，将提升钢材生产效率。,改造煉鋼廠，將提升鋼材生產效率。
改造橡胶工厂，将提升橡胶生产效率。,改造橡膠工廠，將提升橡膠生產效率。
改造炼油厂，将提升油料生产效率。,改造煉油廠，將提升油料生產效率。
改造玻璃厂，将提升玻璃生产效率。,改造玻璃廠，將提升玻璃生產效率。
改造芯片工厂，将提升电路元件生产效率。,改造芯片工廠，將提升電路元件生產效率。
研究铸造工艺，将提升铸造专家的等级上限。,研究鑄造工藝，將提升鑄造專家的等級上限。
研究木材工艺，将提升木材加工专家的等级上限。,研究木材工藝，將提升木材加工專家的等級上限。
研究服装工艺，将提升服装设计师的等级上限。,研究服裝工藝，將提升服裝設計師的等級上限。
研究手工工艺，将提升手工专家的等级上限。,研究手工工藝，將提升手工專家的等級上限。
研究化学工艺，将提升化学专家的等级上限。,研究化學工藝，將提升化學專家的等級上限。
研究枪械工艺，将提升枪械装配师的等级上限。,研究槍械工藝，將提升槍械裝配師的等級上限。
研究工程工艺，将提升工程师的等级上限。,研究工程工藝，將提升工程師的等級上限。
研究精密工艺，将提升精密加工专家的等级上限。,研究精密工藝，將提升精密加工專家的等級上限。
研究艺术工艺，将提升首饰设计师的等级上限。,研究藝術工藝，將提升首飾設計師的等級上限。
研究尖端科技，将提升工程院士的等级上限。,研究尖端科技，將提升工程院士的等級上限。
研究康复理疗，可以减少英雄的休息时间。,研究康復理療，可以減少英雄的休息時間。
研究探险情报，可以增加发现探险时的战力品。,研究探險情報，可以增加發現探險時的戰力品。
研究指挥学，可以提升英雄的等级上限。,研究指揮學，可以提升英雄的等級上限。
统计商会联盟内所有成员的铁矿厂改造次数，改造次数越多，共享奖励加成越高,統計商會聯盟內所有成員的鐵礦廠改造次數，改造次數越多，共享獎勵加成越高
统计商会联盟内所有成员的伐木场改造次数，改造次数越多，共享奖励加成越高,統計商會聯盟內所有成員的伐木場改造次數，改造次數越多，共享獎勵加成越高
统计商会联盟内所有成员的皮革厂改造次数，改造次数越多，共享奖励加成越高,統計商會聯盟內所有成員的皮革廠改造次數，改造次數越多，共享獎勵加成越高
统计商会联盟内所有成员的纺织厂改造次数，改造次数越多，共享奖励加成越高,統計商會聯盟內所有成員的紡織廠改造次數，改造次數越多，共享獎勵加成越高
统计商会联盟内所有成员的化学制剂厂改造次数，改造次数越多，共享奖励加成越高,統計商會聯盟內所有成員的化學製劑廠改造次數，改造次數越多，共享獎勵加成越高
统计商会联盟内所有成员的炼钢厂改造次数，改造次数越多，共享奖励加成越高,統計商會聯盟內所有成員的煉鋼廠改造次數，改造次數越多，共享獎勵加成越高
统计商会联盟内所有成员的橡胶工厂改造次数，改造次数越多，共享奖励加成越高,統計商會聯盟內所有成員的橡膠工廠改造次數，改造次數越多，共享獎勵加成越高
统计商会联盟内所有成员的炼油厂改造次数，改造次数越多，共享奖励加成越高,統計商會聯盟內所有成員的煉油廠改造次數，改造次數越多，共享獎勵加成越高
统计商会联盟内所有成员的玻璃厂改造次数，改造次数越多，共享奖励加成越高,統計商會聯盟內所有成員的玻璃廠改造次數，改造次數越多，共享獎勵加成越高
统计商会联盟内所有成员的芯片工厂改造次数，改造次数越多，共享奖励加成越高,統計商會聯盟內所有成員的芯片工廠改造次數，改造次數越多，共享獎勵加成越高
统计商会联盟内所有成员的铸造工艺研究次数，研究次数越多，共享奖励加成越高,統計商會聯盟內所有成員的鑄造工藝研究次數，研究次數越多，共享獎勵加成越高
统计商会联盟内所有成员的木材工艺研究次数，研究次数越多，共享奖励加成越高,統計商會聯盟內所有成員的木材工藝研究次數，研究次數越多，共享獎勵加成越高
统计商会联盟内所有成员的服装工艺研究次数，研究次数越多，共享奖励加成越高,統計商會聯盟內所有成員的服裝工藝研究次數，研究次數越多，共享獎勵加成越高
统计商会联盟内所有成员的手工工艺研究次数，研究次数越多，共享奖励加成越高,統計商會聯盟內所有成員的手工工藝研究次數，研究次數越多，共享獎勵加成越高
统计商会联盟内所有成员的化学工艺研究次数，研究次数越多，共享奖励加成越高,統計商會聯盟內所有成員的化學工藝研究次數，研究次數越多，共享獎勵加成越高
统计商会联盟内所有成员的枪械工艺研究次数，研究次数越多，共享奖励加成越高,統計商會聯盟內所有成員的槍械工藝研究次數，研究次數越多，共享獎勵加成越高
统计商会联盟内所有成员的工程工艺研究次数，研究次数越多，共享奖励加成越高,統計商會聯盟內所有成員的工程工藝研究次數，研究次數越多，共享獎勵加成越高
统计商会联盟内所有成员的精密工艺研究次数，研究次数越多，共享奖励加成越高,統計商會聯盟內所有成員的精密工藝研究次數，研究次數越多，共享獎勵加成越高
统计商会联盟内所有成员的艺术工艺研究次数，研究次数越多，共享奖励加成越高,統計商會聯盟內所有成員的藝術工藝研究次數，研究次數越多，共享獎勵加成越高
统计商会联盟内所有成员的尖端科技研究次数，研究次数越多，共享奖励加成越高,統計商會聯盟內所有成員的尖端科技研究次數，研究次數越多，共享獎勵加成越高
统计商会联盟内所有成员的康复研究次数，研究次数越多，共享奖励加成越高,統計商會聯盟內所有成員的康復研究次數，研究次數越多，共享獎勵加成越高
统计商会联盟内所有成员的探险研究次数，研究次数越多，共享奖励加成越高,統計商會聯盟內所有成員的探險研究次數，研究次數越多，共享獎勵加成越高
统计商会联盟内所有成员的指挥研究次数，研究次数越多，共享奖励加成越高,統計商會聯盟內所有成員的指揮研究次數，研究次數越多，共享獎勵加成越高
建筑与科技分类的翻译》↓,建築與科技分類的翻譯》↓
玻璃工厂,玻璃工廠
铸造工艺研究,鑄造工藝研究
木材工艺研究,木材工藝研究
服装工艺研究,服裝工藝研究
手工工艺研究,手工工藝研究
化学工艺研究,化學工藝研究
枪械工艺研究,槍械工藝研究
工程工艺研究,工程工藝研究
精密工艺研究,精密工藝研究
艺术工艺研究,藝術工藝研究
尖端科技研究,尖端科技研究
建筑与科技作用名词的翻译》↓,建築與科技作用名詞的翻譯》↓
铁矿产量,鐵礦產量
木材产量,木材產量
皮革产量,皮革產量
布料产量,布料產量
药剂产量,藥劑產量
钢材产量,鋼材產量
橡胶产量,橡膠產量
油料产量,油料產量
玻璃产量,玻璃產量
芯片产量,芯片產量
铸造专家等级上限,鑄造專家等級上限
木材加工专家等级上限,木材加工專家等級上限
服装设计师等级上限,服裝設計師等級上限
手工专家等级上限,手工專家等級上限
化学专家等级上限,化學專家等級上限
枪械装配师等级上限,槍械裝配師等級上限
工程师等级上限,工程師等級上限
精密加工专家等级上限,精密加工專家等級上限
首饰设计师等级上限,首飾設計師等級上限
工程院士等级上限,工程院士等級上限
英雄等级上限,英雄等級上限
员工名字的翻译》↓,員工名字的翻譯》↓
威廉,威廉
约翰,約翰
琳,琳
左纳,左納
艾拉,艾拉
伊利欧斯,伊利歐斯
劳伦斯,勞倫斯
西恩,西恩
阿芙莉亚,阿芙莉亞
亚历山大,亞歷山大
员工分类的翻译》↓,員工分類的翻譯》↓
铸造专家,鑄造專家
木材加工专家,木材加工專家
服装设计师,服裝設計師
手工专家,手工專家
化学专家,化學專家
枪械装配师,槍械裝配師
工程师,工程師
精密加工专家,精密加工專家
首饰设计师,首飾設計師
工程院士,工程院士
员工说明相关的翻译》↓,員工說明相關的翻譯》↓
看到我手中的铁锤了吗？它能敲出简单的武器还有护具！,看到我手中的鐵錘了嗎？它能敲出簡單的武器還有護具！
不要瞧不起木头制作的东西，它可是非常可靠，关键时候能保住你的性命！,不要瞧不起木頭製作的東西，它可是非常可靠，關鍵時候能保住你的性命！
想要一身合身并且能保护你的护甲吗？,想要一身合身並且能保護你的護甲嗎？
一双灵巧的手说的就是我，不管是武器还是实用的东西记得找我制作！,一雙靈巧的手說的就是我，不管是武器還是實用的東西記得找我製作！
不想死的话，我给你的东西记得马上丢出去，危险警告！,不想死的話，我給你的東西記得馬上丟出去，危險警告！
想要制作一把常用武器吗？你想要制作什么武器？,想要製作一把常用武器嗎？你想要製作什麽武器？
呃...我会设计帝国大厦，这种小工具难不倒我！,呃...我會設計帝國大廈，這種小工具難不倒我！
我拥有一双不会颤抖的手，我制造的武器能打中几千米远的蚊子！你相信我吗？,我擁有一雙不會顫抖的手，我製造的武器能打中幾千米遠的蚊子！你相信我嗎？
好向往旧时代的时装秀，我设计的首饰肯定能风靡世界~,好向往舊時代的時裝秀，我設計的首飾肯定能風靡世界~
年轻人，我曾经研究的重型武器可以毁灭世界~,年輕人，我曾經研究的重型武器可以毀滅世界~
NPC名字相关的翻译》↓,NPC名字相關的翻譯》↓
男流浪汉,男流浪漢
女流浪汉,女流浪漢
艾莉,艾莉
引导员,引導員
黑市商人,黑市商人
店主换装相关的翻译》↓,店主換裝相關的翻譯》↓
女性五官1,女性五官1
女性五官2,女性五官2
女性五官3,女性五官3
男性五官1,男性五官1
男性五官2,男性五官2
男性五官3,男性五官3
男性五官4,男性五官4
男性五官5,男性五官5
男性五官6,男性五官6
男性五官7,男性五官7
男性五官8,男性五官8
男性五官9,男性五官9
男性五官10,男性五官10
男性五官11,男性五官11
男性五官12,男性五官12
女性发型1,女性發型1
女性发型2,女性發型2
女性发型3,女性發型3
女性发型4,女性發型4
女性发型5,女性發型5
男性发型1,男性發型1
男性发型2,男性發型2
男性发型3,男性發型3
男性发型4,男性發型4
男性发型5,男性發型5
男性发型6,男性發型6
男性发型7,男性發型7
男性发型8,男性發型8
男性发型9,男性發型9
男性发型10,男性發型10
男性发型11,男性發型11
女性上装1,女性上裝1
女性上装2,女性上裝2
女性上装3,女性上裝3
女性上装4,女性上裝4
女性上装5,女性上裝5
女性上装6,女性上裝6
女性上装7,女性上裝7
女性上装8,女性上裝8
男性上装1,男性上裝1
男性上装2,男性上裝2
男性上装3,男性上裝3
男性上装4,男性上裝4
男性上装5,男性上裝5
男性上装6,男性上裝6
男性上装7,男性上裝7
男性上装8,男性上裝8
男性上装9,男性上裝9
男性上装10,男性上裝10
